Id,clave_unica,Happy,Engage,WearingGlasses,LeftEyeClosed,RightEyeClosed,MouthOpen,MouthMoved,LookingAway,Fecha,nombrePC,Resource_Id,No_Usuarios
182,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:18",MCC-05,NULL,4
183,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:19",MCC-05,NULL,5
184,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:19",MCC-05,NULL,4
185,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,Yes,Yes,Maybe,Yes,Yes,No,"2015-12-16 12:27:19",MCC-05,NULL,4
186,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,Yes,Yes,Maybe,Maybe,Yes,No,"2015-12-16 12:27:20",MCC-05,NULL,4
187,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,Yes,Yes,No,No,Yes,No,"2015-12-16 12:27:20",MCC-05,NULL,4
188,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:20",MCC-05,NULL,5
189,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:21",MCC-05,NULL,5
190,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:21",MCC-05,NULL,5
191,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:22",MCC-05,NULL,5
192,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:22",MCC-05,NULL,5
193,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:22",MCC-05,NULL,5
194,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:23",MCC-05,NULL,4
195,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:23",MCC-05,NULL,5
196,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:24",MCC-05,NULL,4
197,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:24",MCC-05,NULL,4
198,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:25",MCC-05,NULL,5
199,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:25",MCC-05,NULL,5
200,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Maybe,No,Yes,Yes,Yes,Yes,"2015-12-16 12:27:25",MCC-05,NULL,5
201,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:26",MCC-05,NULL,5
202,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:26",MCC-05,NULL,5
203,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:26",MCC-05,NULL,5
204,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:27",MCC-05,NULL,4
205,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,No,No,Maybe,Yes,Yes,"2015-12-16 12:27:27",MCC-05,NULL,4
206,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Yes,Maybe,No,Yes,Yes,"2015-12-16 12:27:28",MCC-05,NULL,4
207,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:28",MCC-05,NULL,5
208,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:29",MCC-05,NULL,4
209,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,No,No,No,No,No,No,"2015-12-16 12:27:30",MCC-05,NULL,5
210,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:30",MCC-05,NULL,5
211,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:31",MCC-05,NULL,4
212,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Yes,Yes,Maybe,Yes,Yes,"2015-12-16 12:27:32",MCC-05,NULL,4
213,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:32",MCC-05,NULL,5
214,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Yes,Yes,No,Yes,Yes,"2015-12-16 12:27:33",MCC-05,NULL,4
215,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,No,Maybe,Maybe,Yes,Yes,"2015-12-16 12:27:33",MCC-05,NULL,4
216,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:34",MCC-05,NULL,4
217,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:34",MCC-05,NULL,4
218,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:34",MCC-05,NULL,5
219,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:35",MCC-05,NULL,5
220,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Yes,Yes,Maybe,Yes,Yes,"2015-12-16 12:27:35",MCC-05,NULL,4
221,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:36",MCC-05,NULL,4
222,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:36",MCC-05,NULL,4
223,5753C815-44AB-4D8B-B910-84F33AB20BE4,Maybe,No,Maybe,Yes,Yes,Maybe,Yes,Yes,"2015-12-16 12:27:37",MCC-05,NULL,0
224,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Yes,Yes,Maybe,Yes,Yes,"2015-12-16 12:27:37",MCC-05,NULL,0
225,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Maybe,No,No,Yes,Yes,"2015-12-16 12:27:37",MCC-05,NULL,4
226,5753C815-44AB-4D8B-B910-84F33AB20BE4,Maybe,No,Yes,Yes,Yes,Maybe,Yes,Yes,"2015-12-16 12:27:37",MCC-05,NULL,0
227,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:38",MCC-05,NULL,4
228,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Yes,Yes,Maybe,Yes,Yes,"2015-12-16 12:27:38",MCC-05,NULL,0
229,5753C815-44AB-4D8B-B910-84F33AB20BE4,Maybe,No,Yes,No,Yes,Maybe,Maybe,Yes,"2015-12-16 12:27:39",MCC-05,NULL,0
230,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,Maybe,Maybe,Yes,Maybe,No,No,"2015-12-16 12:27:39",MCC-05,NULL,0
231,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:39",MCC-05,NULL,5
232,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:40",MCC-05,NULL,5
233,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:40",MCC-05,NULL,5
234,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Maybe,No,Yes,Yes,Yes,"2015-12-16 12:27:40",MCC-05,NULL,5
235,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,No,No,Yes,Yes,Yes,"2015-12-16 12:27:41",MCC-05,NULL,5
236,5753C815-44AB-4D8B-B910-84F33AB20BE4,Maybe,No,Yes,No,Yes,Yes,Yes,Yes,"2015-12-16 12:27:41",MCC-05,NULL,5
237,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:41",MCC-05,NULL,0
238,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:42",MCC-05,NULL,5
239,5753C815-44AB-4D8B-B910-84F33AB20BE4,Maybe,Maybe,No,No,No,Maybe,Yes,Maybe,"2015-12-16 12:27:43",MCC-05,NULL,3
240,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,No,No,No,No,Yes,Maybe,"2015-12-16 12:27:44",MCC-05,NULL,3
241,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,No,No,No,No,Yes,Maybe,"2015-12-16 12:27:44",MCC-05,NULL,3
242,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,No,No,Yes,No,Yes,No,"2015-12-16 12:27:44",MCC-05,NULL,3
243,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:45",MCC-05,NULL,4
244,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:45",MCC-05,NULL,4
245,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,No,No,No,No,Yes,Maybe,"2015-12-16 12:27:45",MCC-05,NULL,3
246,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,Yes,Yes,Maybe,No,Yes,No,"2015-12-16 12:27:46",MCC-05,NULL,4
247,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,Yes,Maybe,Maybe,Maybe,Yes,No,"2015-12-16 12:27:46",MCC-05,NULL,4
248,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,Yes,No,No,Yes,Maybe,"2015-12-16 12:27:46",MCC-05,NULL,4
249,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,Yes,Maybe,Yes,Yes,Maybe,"2015-12-16 12:27:46",MCC-05,NULL,4
250,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Yes,Yes,Maybe,Yes,Maybe,"2015-12-16 12:27:47",MCC-05,NULL,4
251,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,Maybe,Maybe,No,Yes,Maybe,"2015-12-16 12:27:47",MCC-05,NULL,4
252,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,Yes,Maybe,No,Yes,Maybe,"2015-12-16 12:27:47",MCC-05,NULL,4
253,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,Yes,No,Maybe,No,Yes,No,"2015-12-16 12:27:48",MCC-05,NULL,4
254,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,Yes,Maybe,Maybe,Yes,Maybe,"2015-12-16 12:27:48",MCC-05,NULL,4
255,5753C815-44AB-4D8B-B910-84F33AB20BE4,Maybe,No,Yes,Yes,Yes,No,Yes,Yes,"2015-12-16 12:27:48",MCC-05,NULL,4
256,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:27:48",MCC-05,NULL,4
257,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,No,No,No,Yes,Maybe,"2015-12-16 12:27:49",MCC-05,NULL,4
258,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,No,No,No,Maybe,Maybe,"2015-12-16 12:27:49",MCC-05,NULL,4
259,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,No,No,No,No,Maybe,"2015-12-16 12:27:49",MCC-05,NULL,4
260,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,Yes,No,No,No,No,No,"2015-12-16 12:27:49",MCC-05,NULL,4
261,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,Yes,No,No,No,Maybe,No,"2015-12-16 12:27:50",MCC-05,NULL,4
262,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,Yes,No,No,Yes,Yes,No,"2015-12-16 12:27:50",MCC-05,NULL,4
